,EM1,EM2,EM3,EM4
07B.i.2,-0.114452,0.0814684,0.329871,0.7031126
07A.i,0.872664,0.052713,0.0207572,0.0538658
06C.ii,0.683627,-0.00913811,0.129949,0.19556211
06B.i,0.885709,0.0120576,0.026232,0.0760014
06A.ii.a,0.377514,0.0820331,-0.0113712,0.5518241
M08B.i,1.00203,0.0639804,-0.0303406,-0.0356698
M07B.ii,0.370744,0.234198,0.467348,-0.07229
M07A2.i.2,0.86448,0.0402069,0.120583,-0.0252699000000001
M07A2.i ,1.00832,0.0782637,-0.0222461,-0.0643376000000002
M07A1.ii.2,0.029871,0.920549,0.0116861,0.0378939
M04.i,0.641772,0.039336,0.303525,0.015367
M02.i,-0.11399,0.108208,0.377986,0.627796
M01v.i,0.268438,-0.0906173,0.382214,0.4399653
M01m.i,0.191882,-0.122767,0.348621,0.582264
