,R,R_stdev,G,G_stdev,B,B_stdev,val,val_stdev
06A,129.62032997313543,29.811136273034585,134.52155186783054,29.42066759168956,135.79336419729913,28.077287930084886,133.3117486794216,28.83969269325661
06C,117.63477052855937,32.607800403291314,123.40202309938688,31.992455600195555,130.29441960887436,28.21065802085564,123.77707107894028,30.769734987248775
M01-vein,142.16697283156856,29.249531766576023,145.83258705638497,29.53851207558403,150.26005189988902,27.767476190458144,146.0865372626142,28.574583311249622
M01,86.20805991100572,21.9360035512659,93.38732842252068,22.46519985203173,102.16977113159933,21.661259433244357,93.92171982170858,21.824142312366607
M02,98.633625098749,26.633588878541243,103.39784291399472,26.153446638532568,109.86703396965392,23.13681577140151,103.96616732746583,25.08867836042337
M07A1,104.35249405918033,27.48312775349291,107.08340019908385,26.63655846744738,108.60174920803348,23.875263855361514,106.67921448876596,25.61830391590806
M07A2,74.51593175219847,24.08333321747626,82.04763065834771,24.332254732838738,95.6324149246955,23.47273513481294,84.06532577841391,23.820189100090865
07A,61.52558497110669,24.130140369591075,66.3067694632087,24.14928801756376,75.70644931707827,23.067016043441807,67.84626791713124,23.622158164072097
06B,82.60801243914464,29.145043084758594,88.06378693409678,30.050984244830367,93.3683323802483,30.076569629465567,88.01337725116332,29.581410745817124
M08B,81.89543645037553,29.712822767754894,87.1250378751249,29.67323479109026,96.04185281887632,29.099272882838473,88.35410904812561,29.270206995076602
M07B,112.96775369518365,26.681954927670787,117.69727465875916,26.900018277978408,120.33374959876495,25.13184681982684,116.99959265090254,26.024937855932915
M04,73.5443118788114,24.170258386967234,78.96642219203176,23.219989794568406,93.70444616961365,21.98469945911028,82.07172674681891,22.891114202107175
07B,84.58874776813144,22.993449290734453,89.47663820958962,22.294529230161476,103.71945611080189,21.16880295579499,92.59494736284095,21.996364726184982
